Reject Rate,RMSE Accepted,RMSE Rejected,Improvement
0.0,0.10269470133947367,,0.0
0.01,0.10121721400850611,0.24896594710526315,-1.4387181730861547
0.02,0.10054983297171498,0.20779325135964913,-2.088587181015785
0.03,0.09900907156628687,0.2218633973391813,-3.5889191215458784
0.04,0.09784440437317252,0.21910182853070176,-4.7230255339734875
0.05,0.09744406787534626,0.20245673715789475,-5.112857231816278
0.06,0.09656425155281821,0.1987384146637427,-5.969587239355497
0.07,0.09650717630635729,0.18490039106516293,-6.025164835586342
0.08,0.09755467815980168,0.16180496790570176,-5.0051493530136755
0.09,0.09862514776171198,0.1438424097368421,-3.9627687939898015
0.1,0.09971946658479532,0.12947181413157896,-2.8971648155859993
0.11,0.1008383359461857,0.11771438497607654,-1.8076545031777826
0.12,0.10198259688895535,0.10791680064327488,-0.6934188826007173
0.13,0.10315311539524098,0.09962685342780028,0.4463853049749384
0.14,0.10435099181966545,0.09252034553258147,1.612829540948416
